id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
4523,Enchanted,85000000,340487652,6.8,5349,2007-11-20,107,"Comedy, Family, Fantasy, Romance",en,['United States of America'],"Walt Disney Pictures, Josephson Entertainment, Andalasia Productions, Right Coast"
5876,The Mist,18000000,57470220,6.927,5125,2007-11-21,126,"Horror, Science Fiction, Thriller",en,['United States of America'],Darkwoods Productions
11199,Wild Hogs,0,253625427,5.962,2256,2007-03-02,100,"Action, Adventure, Comedy",en,['United States of America'],"Touchstone Pictures, Wild Hogs Productions"
21623,Beneath,0,0,5.5,103,2007-08-07,82,"Horror, Mystery, Thriller",en,['United States of America'],"MTV Films, Paramount Classics"
21833,Body Armour,0,0,5.1,20,2007-02-09,90,"Action, Thriller",en,"['Australia', 'Germany', 'Spain', 'United Kingdom', 'United States of America']","Zinc Entertainment Inc., ApolloProMovie & Co. 2. Filmproduktion, Fausto Producciones, Pacific Coast Productions, Skyline Films, Telecinco Cinema, TV3, ICEC"
14624,The Ultimate Gift,0,3438735,7.6,437,2007-03-09,114,"Romance, Drama, Family",en,['United States of America'],"The Ultimate Gift LLC, Dean River Productions, LIFE(n), Stanford Financial Group"
13680,The Game Plan,22000000,147880543,6.5,2011,2007-09-28,110,"Comedy, Family",en,['United States of America'],"Monkey Dance Productions, Walt Disney Pictures, Mayhem Pictures"
1949,Zodiac,65000000,84785914,7.5,10373,2007-03-02,157,"Crime, Drama, Mystery, Thriller",en,['United States of America'],"Paramount Pictures, Warner Bros. Pictures, Phoenix Pictures"
4512,The Assassination of Jesse James by the Coward Robert Ford,30000000,14711793,7.0,2453,2007-09-20,159,"Drama, Western",en,"['Canada', 'United Kingdom', 'United States of America']","Plan B Entertainment, Virtual Studios, Scott Free Productions, Alberta Film Entertainment, Jesse Films Inc., Warner Bros. Pictures"
1991,Death Proof,25000000,31126421,6.838,5075,2007-05-22,113,"Action, Thriller",en,['United States of America'],"Troublemaker Studios, The Weinstein Company, Dimension Films, Rodriguez International Pictures"
5915,Into the Wild,15000000,56255142,7.804,9434,2007-09-21,148,"Adventure, Drama",en,['United States of America'],"River Road Entertainment, Paramount Vantage, The Linson Company, Square One C.I.H."
6145,Fracture,10000000,91354215,7.3,3843,2007-04-19,113,Thriller,en,"['Germany', 'United States of America']","M7 Filmproduktion, New Line Cinema, Castle Rock Entertainment, Weinstock Productions"
5176,3:10 to Yuma,55000000,70000000,7.207,3537,2007-09-06,122,Western,en,['United States of America'],"Lionsgate, Tree Line Films, Relativity Media, Yuma"
6615,Lars and the Real Girl,12000000,11293663,7.2,1785,2007-10-12,106,"Comedy, Drama, Romance",en,['United States of America'],"Sidney Kimmel Entertainment, Lars Productions"
298,Ocean's Thirteen,85000000,311312624,6.7,6250,2007-06-05,122,"Crime, Thriller",en,['United States of America'],"Village Roadshow Pictures, Warner Bros. Pictures, Section Eight, Jerry Weintraub Productions"
8875,Timber Falls,2600000,677548,5.2,142,2007-12-07,97,"Horror, Thriller",en,['United States of America'],"Ascendant Pictures, A-Mark Entertainment, Rifkin-Eberts Productions, Film Tiger"
3021,1408,25000000,133000000,6.687,4365,2007-06-22,112,"Horror, Mystery",en,['United States of America'],"Dimension Films, di Bonaventura Pictures, The Weinstein Company, Metro-Goldwyn-Mayer"
1273,TMNT,34000000,95608995,6.1,1080,2007-03-23,86,"Adventure, Animation, Comedy, Family",en,"['Hong Kong', 'United States of America']","Imagi Animation Studios, Mirage Studios"
2355,Reign Over Me,20000000,22222308,7.2,1040,2007-03-22,124,Drama,en,['United States of America'],"Columbia Pictures, Sunlight Productions, Relativity Media, Madison 23, Happy Madison Productions"
10030,Good Luck Chuck,25000000,59768495,5.9,1470,2007-09-21,101,"Comedy, Romance",en,"['Canada', 'United States of America']","Milestone Entertainment, Lionsgate, Karz Entertainment, Alberta Film Development Program of the Alberta Government, Chuck Productions"
4513,30 Days of Night,30000000,75505973,6.4,2734,2007-10-17,113,"Horror, Thriller",en,"['New Zealand', 'United States of America']","HorrorFlix, Columbia Pictures, Ghost House Pictures, Dark Horse Entertainment, Mandate International"
14211,Prey,0,3643652,5.8,368,2007-05-18,92,"Adventure, Horror, Thriller",en,"['South Africa', 'United Kingdom', 'United States of America']","Anant Singh Production, Videovision Entertainment, Distant Horizon, Ingenious Media"
13161,Big Stan,7500000,8742330,6.6,886,2007-11-03,109,"Comedy, Crime",en,['United States of America'],"Crystal Sky Pictures, From Out of Nowhere Productions, Silver Nitrate, Chicago Entertainment Partners"
10172,Are We Done Yet?,0,58400000,5.8,607,2007-04-04,92,"Family, Comedy",en,['United States of America'],"Revolution Dream Productions, Revolution Studios, Cube Vision, RKO Pictures LLC"
14424,Sex and Death 101,5,1,6.2,273,2007-06-15,117,"Comedy, Romance, Drama",en,['United States of America'],"Avenue Pictures, Sandbar Pictures"
5123,August Rush,25000000,66122026,7.4,2649,2007-11-21,114,"Family, Drama, Music",en,['United States of America'],"Warner Bros. Pictures, Odyssey Entertainment, Southpaw Entertainment, CJ Entertainment"
9038,The Heartbreak Kid,60000000,128453183,5.724,1582,2007-10-05,116,"Comedy, Romance",en,['United States of America'],"Conundrum Entertainment, Davis Entertainment, DreamWorks Pictures, Radar Pictures"
13649,High School Musical 2,7000000,0,6.517,3688,2007-08-17,108,"Comedy, Drama, Family, Music, Romance, TV Movie",en,['United States of America'],"First Street Films, Salty Pictures"
4538,The Darjeeling Limited,16000000,24377151,7.2,3509,2007-09-07,92,"Adventure, Drama, Comedy",en,['United States of America'],"Fox Searchlight Pictures, Collage, American Empirical Pictures"
4141,Shoot 'Em Up,39000000,26800000,6.5,1839,2007-07-26,86,"Action, Thriller, Comedy, Crime",en,['United States of America'],"New Line Cinema, Angry Films"
