title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Guns Akimbo,15000000,835102,6.5,2261,2020-02-27,98,"Action, Comedy",en
The Rhythm Section,50000000,5989583,5.521,586,2020-01-31,109,"Action, Thriller",en
Supernova,0,2506542,6.891,311,2020-11-20,94,"Romance, Drama",en
Upside-Down Magic,0,0,7.135,248,2020-07-31,96,"Fantasy, Family, TV Movie",en
Earth and Blood,0,0,6.149,289,2020-04-17,80,"Action, Thriller",fr
Invasion,8819200,32104054,6.891,787,2020-02-27,129,"Science Fiction, Drama, Action",ru
The Swing of Things,0,0,4.775,109,2020-07-02,93,Comedy,en
Ala Vaikunthapurramuloo,14000000,28859072,6.637,84,2020-01-12,165,"Action, Comedy, Drama",te
The Nest,0,1200000,6.094,324,2020-05-08,107,Drama,en
Wild Mountain Thyme,0,0,5.2,173,2020-12-11,102,"Romance, Drama",en
The Girl Next Door 4,0,0,10.0,1,2020-07-03,72,Romance,ko
Nowhere Special,0,0,7.2,157,2020-09-10,96,Drama,en
All About Sex,0,0,6.103,34,2020-01-16,75,"Comedy, Drama, Romance",en
How I Became a Superhero,18000000,0,6.058,494,2020-11-19,101,"Science Fiction, Adventure, Action, Comedy, Thriller",fr
The Last Days of American Crime,0,0,6.518,814,2020-06-05,149,"Action, Crime, Thriller",en
32 Malasana Street,0,0,6.458,646,2020-01-17,105,"Drama, Horror",es
Pokémon the Movie: Secrets of the Jungle,0,0,7.2,160,2020-12-25,101,"Animation, Adventure, Family, Fantasy",ja
American Murder: The Family Next Door,0,0,7.297,649,2020-09-29,83,Documentary,en
Shadow in the Cloud,0,1054290,5.839,954,2020-12-31,83,"Horror, Action, War",en
The Social Dilemma,0,0,7.466,1566,2020-01-26,94,"Documentary, Drama",en
Shark Season,0,0,4.5,44,2020-07-28,87,"Mystery, Thriller, Horror, Action",en
The Sleepover,0,0,6.402,402,2020-08-21,103,"Family, Action",en
100% Wolf,0,9750139,6.081,298,2020-06-26,96,"Animation, Family, Fantasy",en
A Nun's Curse,0,0,6.42,188,2020-05-12,73,Horror,en
Flashback,0,26747,6.1,283,2020-10-08,97,Thriller,en
The Devil All the Time,0,0,7.2,3279,2020-09-11,138,"Crime, Drama, Thriller",en
Sniper: Assassin's End,0,68881,6.2,202,2020-06-15,95,Action,en
Tragic Jungle,1250000,0,6.2,39,2020-09-09,96,"Drama, Mystery",es
Eurovision Song Contest: The Story of Fire Saga,0,0,6.438,1397,2020-06-26,123,"Comedy, Music",en
Antebellum,15000000,7060384,6.3,897,2020-09-02,105,Horror,en
Follow Me,0,3551439,6.28,486,2020-07-03,88,"Horror, Thriller",en
Vampires vs. the Bronx,0,0,5.716,290,2020-10-02,86,"Comedy, Horror",en
Octonauts and the Caves of Sac Actun,0,0,6.6,33,2020-08-14,72,"Family, Animation",en
Justice High,0,0,7.2,8,2020-03-05,112,"Action, Comedy",ko
Clouds,0,0,8.259,999,2020-10-09,121,"Music, Drama, Romance",en
The Way Back,23000000,14590514,6.674,1148,2020-03-05,107,Drama,en
Nobody Sleeps in the Woods Tonight,0,0,5.3,647,2020-03-13,102,"Comedy, Horror",pl
Unpregnant,0,0,7.1,284,2020-09-10,104,"Drama, Comedy",en
The Big Ugly,0,0,5.174,86,2020-07-24,106,Thriller,en
Let Him Go,21000000,7997460,6.8,635,2020-11-05,114,"Thriller, Crime, Western",en
Your Name Engraved Herein,0,0,7.9,249,2020-09-30,114,"Romance, Drama",zh
Secrets of the Saqqara Tomb,0,0,7.337,132,2020-10-28,113,Documentary,en
Birthmother's Betrayal,0,0,5.2,17,2020-06-20,88,"Thriller, TV Movie",en
If Anything Happens I Love You,0,0,7.692,878,2020-03-07,12,"Drama, Animation",en
Run Sweetheart Run,0,0,5.735,179,2020-01-27,103,"Horror, Thriller",en
Holidate,0,0,7.026,2143,2020-10-27,104,"Comedy, Romance",en
100% Wolf,0,9750139,6.081,298,2020-06-26,96,"Animation, Family, Fantasy",en
The Paramedic,0,0,6.057,622,2020-09-16,94,"Thriller, Horror",es
Cranston Academy: Monster Zone,0,641308,6.03,100,2020-04-29,80,"Animation, Adventure, Science Fiction, Fantasy, Horror",en
Miss Americana,0,0,7.913,583,2020-01-31,85,"Documentary, Music",en
Rising High,0,0,6.65,270,2020-04-17,94,"Comedy, Drama",de
The Thing About Harry,0,0,6.894,207,2020-02-15,86,"Romance, TV Movie, Comedy",en
Sergio,16000000,0,6.577,326,2020-01-28,118,Drama,en
Rogue,0,139757,5.601,680,2020-08-20,106,"Action, Adventure",en
Feel the Beat,0,0,7.588,1108,2020-06-19,107,"Comedy, Music, Drama",en
Rated 19 Secret Lesson,0,0,6.0,8,2020-09-04,76,Drama,ko
Deathstroke: Knights & Dragons - The Movie,0,0,6.96,435,2020-08-04,87,"Animation, Action, Adventure, Science Fiction",en
Freaks – You're One of Us,0,0,5.598,332,2020-09-02,93,"Drama, Fantasy, Thriller",de
The Dissident,0,57000,7.286,98,2020-12-25,119,Documentary,en
Antebellum,15000000,7060384,6.3,897,2020-09-02,105,Horror,en
The Wolf of Snow Hollow,2000000,239828,6.1,410,2020-10-23,84,"Horror, Thriller",en
Octonauts and the Caves of Sac Actun,0,0,6.6,33,2020-08-14,72,"Family, Animation",en
Jiu Jitsu,23000000,99924,4.819,600,2020-11-20,102,"Action, Science Fiction, Fantasy",en
Disturbing the Peace,0,0,4.6,121,2020-01-17,90,"Action, Crime",en
