title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
Myself Two Seconds to Cry,[],0,1359744,"[{'id': 10402, 'name': 'Music'}]",0,en,,2024-09-27,2.423,260,0.0,16
Dan Bárta & Illustratosphere - Zvířený prach tour 2022,"[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",0,1229125,"[{'id': 10402, 'name': 'Music'}]",0,cs,,2024-01-04,2.423,0,0.0,0
The Wellness Warrior,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1360874,"[{'id': 99, 'name': 'Documentary'}]",0,en,,2024-10-18,2.422,0,0.0,45
It's All Wrong,[],0,1301343,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",0,en,,2024-07-09,2.422,5000,0.0,25
Princezna na hrášku,"[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",0,1268183,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1,cs,tt31828388,2024-05-30,2.422,0,1.0,0
Beckenbauer,"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",0,1225532,"[{'id': 99, 'name': 'Documentary'}, {'id': 10770, 'name': 'TV Movie'}]",3,de,tt30818530,2024-01-02,2.422,0,7.2,89
Thorn,[],0,1361016,[],0,en,,2024-09-26,2.421,0,0.0,15
War Tails,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'UA', 'name': 'Ukraine'}]",0,1300624,"[{'id': 99, 'name': 'Documentary'}]",0,en,tt32551136,2024-06-30,2.42,60000,0.0,55
Paranormal Activity,[],0,1234414,"[{'id': 27, 'name': 'Horror'}]",0,en,,2024-01-21,2.42,0,0.0,8
Le Petit Sentiment,[],0,1319850,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0,id,,2024-09-15,2.419,0,0.0,15
Kill Boro,"[{'iso_3166_1': 'NG', 'name': 'Nigeria'}]",0,1300856,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0,en,tt32496723,2024-05-30,2.419,250000,0.0,137
Do You Know Kafka?,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",0,1292751,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}]",0,de,tt32538865,2024-05-24,2.419,0,0.0,52
Zura III: The Clean-up,"[{'iso_3166_1': 'MN', 'name': 'Mongolia'}]",0,1274219,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",1,mn,,2024-03-07,2.419,0,10.0,152
Panopticon,"[{'iso_3166_1': 'GE', 'name': 'Georgia'}]",0,1213193,[],0,ka,tt21958116,2024-06-30,2.419,0,0.0,95
Mountains,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23946,1115584,"[{'id': 18, 'name': 'Drama'}]",1,en,tt22170270,2024-08-16,2.419,0,7.0,95
Running Man: Revengers,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",447582,1095932,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",1,ko,tt13429168,2023-04-04,2.419,0,6.0,75
48 Hours,"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",0,1081332,"[{'id': 18, 'name': 'Drama'}]",0,fa,tt28490396,2022-11-06,2.419,0,0.0,21
Dans la tete de godard et de beauregard,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1359589,"[{'id': 99, 'name': 'Documentary'}]",0,fr,,2024-10-18,2.418,0,0.0,69
Scared to Death,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1299357,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",0,en,tt6293780,2024-08-11,2.418,0,0.0,98
A Glimpse of Forever,"[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",0,1250503,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,tl,tt31390069,2024-03-06,2.418,0,0.0,90
Commander,"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",0,1226484,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",2,ru,tt28940336,2024-02-22,2.418,0,4.333,144
The Lineman,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1214845,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",0,en,tt7335856,2024-12-06,2.418,50000000,0.0,118
The Universe of Keith Haring,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",0,65275,"[{'id': 99, 'name': 'Documentary'}]",8,en,tt1204341,2008-04-01,2.418,0,6.4,90
Not the Clowns,[],0,1360313,"[{'id': 27, 'name': 'Horror'}]",0,en,tt33478546,2024-10-25,2.417,1100,0.0,0
ACMA:GAMEアクマゲーム ワールドエンド,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",0,1359434,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",0,ja,,2024-10-25,2.417,0,0.0,0
Samaa,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",0,1316434,"[{'id': 16, 'name': 'Animation'}]",0,en,,2024-09-26,2.417,0,0.0,3
Light,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",0,1265122,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",10,en,tt11786386,2024-03-29,2.417,0,3.9,93
The Glory of Life,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'AT', 'name': 'Austria'}]",947881,1231180,"[{'id': 18, 'name': 'Drama'}]",5,de,tt27775137,2024-03-14,2.417,0,7.2,98
Nens,[],0,1363629,"[{'id': 18, 'name': 'Drama'}]",0,es,,2024-10-18,2.416,0,0.0,0
Emergence,[],0,1361027,[],0,en,,2024-09-26,2.416,0,0.0,5
Nottefonda,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359375,"[{'id': 18, 'name': 'Drama'}]",0,it,,2024-10-18,2.416,0,0.0,92
Mission Latvian. Designers,"[{'iso_3166_1': 'LV', 'name': 'Latvia'}]",0,1357917,"[{'id': 99, 'name': 'Documentary'}]",0,lv,,2024-10-18,2.416,0,0.0,75
"Make Up, Make Me Grow Up!",[],0,1353447,[],0,th,,2024-09-25,2.416,0,0.0,0
Summer Solstice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6543,1130858,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",3,en,tt26439316,2024-06-14,2.416,0,4.333,81
Red Rooster,[],0,1103017,"[{'id': 18, 'name': 'Drama'}]",0,es,tt21907858,2024-02-25,2.416,0,0.0,84
Sapraquifa,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1362790,"[{'id': 27, 'name': 'Horror'}]",0,pt,,2024-09-26,2.415,0,0.0,0
Tu Oro,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1362779,[],0,pt,,2024-09-26,2.415,0,0.0,0
ARES 25: Sola vs. Gagloev,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1362030,[],0,fr,,2024-09-26,2.415,0,0.0,0
Concrete Whisper,[],0,1360996,[],0,en,,2024-09-26,2.415,0,0.0,12
Ago,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359892,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,80
Dike – vita da magistrato,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359885,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,64
Eroici! 100 anni di passione e racconti di sport,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359884,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,70
I nipoti dei fiori,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359878,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,93
"Tommaso, il Calcio a Colori di Maestrelli","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359876,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,98
Mario Verdone: il Critico Viaggiatore,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359583,"[{'id': 99, 'name': 'Documentary'}]",0,it,,2024-10-18,2.415,0,0.0,75
Marko Polo,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",0,1359399,"[{'id': 18, 'name': 'Drama'}]",0,it,,2024-10-18,2.415,0,0.0,78
My Dearest Fu Bao,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,1314450,"[{'id': 99, 'name': 'Documentary'}, {'id': 16, 'name': 'Animation'}]",0,ko,,2024-09-04,2.415,0,0.0,95
Inès Reg Hors Normes,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1276042,"[{'id': 35, 'name': 'Comedy'}]",7,fr,,2024-04-18,2.415,0,6.1,0
